GTX TITAN X;10691;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+TITAN+X&id=3162
rtx 2060 (Mobile);10598;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+%28Mobile%29&id=4085
Radeon Pro SSG;10498;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+SSG&id=3985
Quadro P4000;10425;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4000&id=3719
Quadro P4200;10373;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4200&id=3959
Quadro P4200 with Max-Q Design;10295;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4200+with+Max-Q+Design&id=3999
GTX 1080 with Max-Q Design;10248;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080+with+Max-Q+Design&id=3784
Quadro RTX 3000;10080;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+3000&id=4119
Quadro M6000 24GB;10068;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M6000+24GB&id=3544
Quadro P5000;10026;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5000&id=3607
Quadro P5200 with Max-Q Design;9796;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5200+with+Max-Q+Design&id=3996
GTX 1660 Ti (Mobile);9689;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti+%28Mobile%29&id=4091
GTX 980;9682;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+980&id=2953
Quadro P2200;9625;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P2200&id=4133
GTX 1070 (Mobile);9539;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+%28Mobile%29&id=4087
GTX 1070 with Max-Q Design;9483;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+with+Max-Q+Design&id=3779
RX 590;9477;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+590&id=4025
Radeon Pro Duo;9434;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Duo&id=3575
Quadro M6000;9431;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M6000&id=3106
Quadro P5200;9367;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5200&id=3888
R9 Fury;9193;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+Fury&id=3256
GTX 1060;9097;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060&id=3548
Quadro P4000 with Max-Q Design;9083;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4000+with+Max-Q+Design&id=3829
GTX 1060 3GB;8991;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+3GB&id=3566
GTX 780 Ti;8891;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+780+Ti&id=2717
GTX TITAN Black;8657;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+TITAN+Black&id=2842
GTX 970;8653;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+970&id=2954
RX 580 2048SP;8653;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580+2048SP&id=4049
Quadro P3200 with Max-Q Design;8643;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P3200+with+Max-Q+Design&id=3963
RX 580;8564;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580&id=3736
GTX 1660 Ti with Max-Q Design;8557;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti+with+Max-Q+Design&id=4082
Quadro M5000;8514;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M5000&id=3369
R9 390X;8502;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+390X&id=3467
R9 Fury + Fury X;8488;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+Fury+%2B+Fury+X&id=3245
RX 480;8148;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+480&id=3533
R9 390;8108;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+390&id=3464
Quadro P3200;8101;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P3200&id=3942
GTX 1650 SUPER;8051;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+SUPER&id=4167
GTX 780;7956;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+780&id=2525
GTX 1650;7948;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650&id=4078
GTX Titan;7937;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+Titan&id=2433
Quadro M5500;7915;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M5500&id=3459
GTX 1060 with Max-Q Design;7873;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+with+Max-Q+Design&id=3769
Radeon Pro WX 7100;7858;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+7100&id=3611
R9 295X2;7776;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+295X2&id=2878
RX 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
Radeon Pro 580;7753;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+580&id=3933
GTX 1060 (Mobile);7691;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+%28Mobile%29&id=4086
GTX TITAN Z;7647;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+TITAN+Z&id=2884
Quadro T2000;7622;https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+T2000&id=4113
FirePro W8100 Graphic Adapter;7570;https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+W8100+Graphic+Adapter&id=3644
