r9 290 4Gb;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1282209187;r9 290 4Gb;8996;120w
Gtx 680;4590;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1339682226;Gtx 680;7454;
Radeon R9 290X;4900;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_radeon_sapphire_r9_290_tri-x_oc_4gb_1831139616;Radeon R9 290X;7153;
1060 3гб;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1838504007;1060 3гб;6905;150w
280x;2500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/r9_280x_3g_1846678716;280x;6905;150w
280x;4300;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_radeon_r9_280x_3gb_1810876513;280x;5853;250w
MSI NVidia GTX 670 4GB;3999;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1847673985;MSI NVidia GTX 670 4GB;5853;250w
Radeon RX 570;5000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1836499446;Radeon RX 570;5668;
Radeon RX 570;5000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1873117342;Radeon RX 570;5362;170w
