asus gtx 780 directcu ii oc 3gb;5000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/asus_gtx_780_directcu_ii_oc_3gb_1770839872;geforce gtx 780;7956;https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+780&id=2525
видеокарта radeon rx 470 8gb;6000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_radeon_rx_470_8gb_1855376308;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
sapphire rx470 4gb;4500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/sapphire_rx470_4gb_1820306870;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарты rx 470 4g nitro;3500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarty_rx_470_4g_nitro_1814398674;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
r9 290x 4gb gigabyte asus strix rx470 4gb;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/r9_290x_4gb_gigabyteasus_strix_rx470_4gb_1784647620;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
sapphire rx470 4gb;5000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/sapphire_rx470_4gb_1841652547;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
rx 470 4gb asus, his, gigabyte;4000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/rx_470_4gb_asus_his_gigabyte_1625059878;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта sapphire rx 470 4g;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_sapphire_rx_470_4g_1838978087;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
gpu rx 470;1000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/gpu_rx_470_1200247874;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта gigabyte rx470 msi;5500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_gigabyte_rx470_msi_1841750722;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
radeon rx 470 4gb с пломбой (уровень gtx 1060);5900;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/radeon_rx_470_4gb_s_plomboy_uroven_gtx_1060_1852362605;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
xfx rx 470 4гига gddr5 256бит;6000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/xfx_-_rx_470_-_4giga-gddr5-256bit_1832526729;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
мощная видяха amd radeon rx 470 4gb, в идеале;5000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/moschnaya_vidyaha_amd_radeon_rx_470_4gb_v_ideale_1828502017;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
rx 470 4gb;5000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/rx_470_4gb_1842558084;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта sapphire nitro rx470 4gb;4500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_sapphire_nitro_rx470_4gb_993047153;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
amd rx 470 4gb saphirre;5000;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/amd_rx_470_4gb_saphirre_1842693776;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
видеокарта gigabyte rx 470 4gb;4500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_gigabyte_rx_470_4gb_1841367665;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
rx 470 sapphire nitro 4gb 256 bit;4700;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/rx_470_sapphire_nitro_4gb_256_bit_1827325835;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
amd radeon sapphire nitro rx470 4gb;4800;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/amd_radeon_sapphire_nitro_rx470_4gb_1797464159;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
rx470 4gb;1500;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/rx470_4gb_1829278650;radeon rx 470;7769;https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470&id=3558
Gtx 680;4590;https://www.avito.ru/krasnodar/tovary_dlya_kompyutera/videokarta_1339682226;Gtx 680;7454;
